Type,Value
Hash,5fe0e156a308b48fb2f9577ed3e3b09768976fdd99f6b2d2db5658b138676902
Hash,37449ddfc120c08e0c0d41561db79e8cbbb97238
Hash,4442c48dd314a04ba4df046dfe43c9ea1d229ef8814e4d3195afa9624682d763
Hash,7651f0d886e1c1054eb716352468ec6aedab06ed61e1eebd02bca4efbb974fb6
Hash,eb01202563dc0a1a3b39852ccda012acfe0b6f4d
Hash,7e3c9323be2898d92666df33eb6e73a46c28e8e34630a2bd1db96aeb39586aeb
Hash,9e5ab438deb327e26266c27891b3573c302113b8d239abc7f9aaa7eff9c4f7bb
Hash,6a19624d80a54c4931490562b94775b74724f200
Hash,32860b0184676509241bbaf9233068d472472c3d9c93570fc072e1acea97a1d4
Hash,b34721e53599286a1093c90a9dd0b789
Hash,7ad65e39b79ad56c02a90dfab8090392ec5ffed10a8e276b86ec9b1f2524ad31
Hash,59c448abaa6cd20ce7af33d6c0ae27e4a853d2bd
Hash,fb775e900872e01f65e606b722719594
Hash,871efc9ecd8a446a7aa06351604a9bf4
Hash,cf8502b8b67d11fbb0c75ebcf741db15
Hash,a4dd1c225292014e65edb83f2684f2d5
Hash,838fb8d181d52e9b9d212b49f4350739
Hash,e37418ba399a095066845e7829267efe
Hash,1072b82f53fdd9fa944685c7e498eece89b6b4240073f654495ac76e303e65c9
Hash,752240cddda5acb5e8d026cef82e2b54
Hash,435a93978fa50f55a64c788002da58a5
Hash,3de91d07ac762b193d5b67dd5138381a
Hash,a4adbea4fcbb242f7eac48ddbf13c814d5eec9220f7dce01b2cc8b56a806cd37
Hash,aba7771c42aea8048e4067809c786b0105e9dfaa
Hash,b01e955a34da8698fae11bf17e3f79a054449f938257284155aeca9a2d3815dd
Hash,3676914af9fd575deb9901a8b625f032
Hash,f1607a5b918345f89e3c2887c6dafc05c5832593
Hash,341c920ec47efa4fd1bfcd1859a7fb98945f9d85
Hash,8b702ba2b2bd65c3ad47117515f0669c
Hash,6ea02f1f13cc39d953e5a3ebcdcfd882
Hash,8f77a9cc2ad32af6fb1865fdff82ad89
Hash,62f8f45c5f10647af0040f965a3ea96d
Hash,d9aa197ca2f01a66df248c7a8b582c40
Hash,217b1c2760bcf4838f5e3efb980064d7
Hash,cfb4be91d8546203ae602c0284126408
Hash,16a711a8fa5a40ee787e41c2c65faf9a78b195307ac069c5e13ba18bce243d01
Hash,5e65373a7c6abca7e3f75ce74c6e8143
Hash,d3b9da7c8c54f7f1ea6433ac34b120a1
Hash,32261fe44c368724593fbf65d47fc826
Hash,d2c117d18cb05140373713859803a0d6
Hash,113ca319e85778b62145019359380a08
Hash,4999967c94a2fb1fa8122f1eea7a0e02
Hash,9846b07bf7265161573392d24543940e
Hash,bf23ce4ae7d5c774b1fa6becd6864b3b
Hash,720203904c9eaf45ff767425a8c518cd
Hash,62652f074924bb961d74099bc7b95731
Hash,1fba1876c88203a2ae6a59ce0b5da2a1
Hash,cf8502b8b67d11fbb0c75ebcf741db15
Hash,fb775e900872e01f65e606b722719594
Hash,73f14f320facbdd29ae6f0628fa6f198dc86ba3428b3eddbfc39cf36224cebb9
Hash,3d2885edf1f70ce4eb1e9519f47a669f
Filename,config.exe
Filename,Strike.doc
Filename,malware.doc
Filename,PDFOPENER_CONSOLE.exe
Filename,Ma_1.tmp
Filename,Wextract
Filename,The%20United%20Nations%20Counter.doc.docx
Filename,netsrvs.exe
Filename,Date.dotm
Filename,ssl.docx
Filename,o040t.exe
Filename,m8f7s.exe
Filename,d5tjo.exe
Filename,LogManager.tmp
Filename,edg1CF5.tmp
Filename,ntuser.swp
Filename,svchost64.swp
Filename,ntuser.dat.swp
Filename,455aa96e-804g-4bcf-bcf8-f400b3a9cfe9.PackageExtraction
Filename,Svchost32.swp
Filename,Svchost64.swp
Filename,update5x.dll
Filename,22092014_ver621.dll     
Filename,netsrv.exe
Filename,netsrva.exe
Filename,netsrvd.exe
Filename,netsrvs.exe
Filename,vminst.tmp
Filename,tdtess.exe
Filename,test_oracle.xls
Filename,ur96r.exe
Filename,The North Korean weapons program now testing USA range.docx
Filename,F123321.exe
Filename,ISIS terrorizes jewish people.docx
Domain,wethearservice.com
Domain,mywindows24.in
Domain,microsoft-office.solutions
Domain,code.jguery.net
Domain,1m100.tech
Domain,cloudflare-statics.com
Domain,cachevideo.com
Domain,winfeedback.net
Domain,terendmicro.com
Domain,alkamaihd.com
Domain,msv-updates.gsvr-static.co
Domain,fbstatic-a.space
Domain,broadcast-microsoft.tech
Domain,sharepoint-microsoft.co
Domain,newsfeeds-microsoft.press
Domain,owa-microsoft.online
Domain,digicert.online
Domain,cloudflare-analyse.com
Domain,israelnewsagency.link
Domain,akamaitechnology.tech
Domain,winupdate64.org
Domain,ads-youtube.net
Domain,cortana-search.com
Domain,nsserver.host
Domain,nameserver.win
Domain,symcd.xyz
Domain,fdgdsg.xyz
Domain,dnsserv.host
Domain,winupdate64.com
Domain,ssl-gstatic.online
Domain,updatedrivers.org
Domain,alkamaihd.net
Domain,update.microsoft-office.solutions
Domain,javaupdate.co
Domain,outlook360.org
Domain,winupdate64.net
Domain,trendmicro.tech
Domain,qoldenlines.net
Domain,windefender.org
Domain,1e100.tech
Domain,chromeupdates.online
Domain,ads-youtube.online
Domain,akamaitechnology.com
Domain,cloudmicrosoft.net
Domain,js.jguery.online
Domain,azurewebsites.tech
Domain,elasticbeanstalk.tech
Domain,jguery.online
Domain,microsoft-security.host
Domain,microsoft-ds.com
Domain,jguery.net
Domain,primeminister-goverment-techcenter.tech
Domain,officeapps-live.com
Domain,microsoft-tool.com
Domain,cissco.net
Domain,js.jguery.net
Domain,f-tqn.com
Domain,javaupdator.com
Domain,officeapps-live.net
Domain,ipresolver.org
Domain,intelchip.org
Domain,outlook360.net
Domain,windowkernel.com
Domain,wheatherserviceapi.info
Domain,windowslayer.in
Domain,sdlc-esd-oracle.online
Domain,mpmicrosoft.com
Domain,officeapps-live.org
Domain,cachevideo.online
Domain,win-update.com
Domain,labs-cloudfront.com
Domain,windowskernel14.com
Domain,fbstatic-akamaihd.com
Domain,mcafee-analyzer.com
Domain,cloud-analyzer.com
Domain,fb-statics.com
Domain,ynet.link
Domain,twiter-statics.info
Domain,diagnose.microsoft-office.solutions
Domain,mswordupdate17.com
Domain,gsvr-static.co
Domain,news-bbc.press
Domain,mandalasanati.info
Domain,office-msupdate.solutions
Domain,windows-updates.solutions
Domain,akamai-net.network
Domain,azureedge-net.services
Domain,doucbleclick.tech
Domain,windows-updates.services
Domain,windows-updates.network
Domain,cloudfront.site
Domain,netcdn-cachefly.network
Domain,akamaized.online
Domain,cdninstagram.center
Domain,googlusercontent.center
DNSName,ea-in-f354.1e100.ads-youtube.net
DNSName,ns1.ynet.link
DNSName,ns2.ynet.link
DNSName,static.dyn-usr.g-blc-se.d45.a63.akamai.be-5-0-ibr01-lts-ntwk-msn.alkamaihd.com
DNSName,pht.is.nlb-deploy.edge-dyn.e11.f20.ads-youtube.online
DNSName,ns1.winfeedback.net
DNSName,ns2.winfeedback.net
DNSName,msupdate.diagnose.microsoft-office.solutions
DNSName,www.alkamaihd.net
DNSName,c20.jdk.cdn-external-ie.1e100.alkamaihd.net
DNSName,ns2.img.twiter-statics.info
DNSName,api.img.twiter-statics.info
DNSName,ns1.img.twiter-statics.info
DNSName,ns1.officeapps-live.net
DNSName,ns1.wheatherserviceapi.info
DNSName,ns2.microsoft-tool.com
DNSName,ns2.f-tqn.com
DNSName,carl.ns.cloudflare.com.sdlc-esd-oracle.online
DNSName,ns1.cortana-search.com
DNSName,40.dc.c0ad.ip4.dyn.gsvr-static.co
DNSName,40.dc.c2ad.ip4.dyn.gsvr-static.co
DNSName,ns2.winupdate64.org
DNSName,ns1.f-tqn.com
DNSName,ns2.cortana-search.com
DNSName,ns1.symcd.xyz
DNSName,ns2.symcd.xyz
DNSName,ns1.winupdate64.org
DNSName,ns1.microsoft-tool.com
DNSName,ns2.officeapps-live.com
DNSName,ns1.israelnewsagency.link
DNSName,ns2.israelnewsagency.link
DNSName,ns1.cissco.net
DNSName,ns2.cissco.net
DNSName,ns1.cachevideo.online
DNSName,ns2.cachevideo.online
DNSName,www.static.dyn-usr.g-blc-se.d45.a63.akamai.alkamaihd.com
DNSName,static.dyn-usr.g-blc-se.d45.a63.akamai.www.alkamaihd.com
DNSName,dhb.stage.12735072.40.dc.c0ad.ip4.sta.gsvr-static.co
DNSName,main.windowskernel14.com
DNSName,www.winupdate64.net
DNSName,ae13-0-hk2-96cbe-1a-ntwk-msn.static.dyn-usr.g-blc-se.d45.a63.akamai.alkamaihd.com
DNSName,be-5-0-ibr01-lts-ntwk-msn.static.dyn-usr.g-blc-se.d45.a63.akamai.alkamaihd.com
DNSName,static.dyn-usr.g-blc-se.d45.a63.akamai.static.dyn-usr.g-blc-se.d45.a63.akamai.alkamaihd.com
DNSName,cyb.stage.12735072.40.dc.c0ad.ip4.sta.gsvr-static.co
DNSName,ns1.winupdate64.com
DNSName,ns1.twiter-statics.info
DNSName,40.dc.c0ad.ip4.dyn.gsvr-static.co
DNSName,update.microsoft-office.solutions
DNSName,wk-in-f104.1e100.n.microsoft.qoldenlines.net
DNSName,ns1.fb-statics.com
DNSName,ns2.fb-statics.com
DNSName,is-cdn.edge.g18.dyn.usr-e12-as.akamaitechnology
DNSName,img.gmailtagmanager.com
DNSName,wk-in-f104.1c100.n.microsoft-security.host
DNSName,msnbot-sd7-46-cdn.microsoft-security.host
DNSName,msnbot-sd7-46-img.microsoft-security.host
DNSName,ns2.winupdate64.com
DNSName,msnbot-sd7-46-194.microsoft-security.host
DNSName,ea-in-f155.1e100.microsoft-security.host
DNSName,msnbot-207-46-194.microsoft-security.host
DNSName,img.twiter-statics.info
DNSName,msnbot-sd7-46-cdn.microsoft-security.host
DNSName,ns2.wheatherserviceapi.info
DNSName,ns1.windowkernel.com
DNSName,ns2.windowkernel.com
DNSName,ns2.fbstatic-a.space
DNSName,ns1.fbstatic-a.space
DNSName,api.TwitEr-Statics.info
DNSName,ns2.mcafee-analyzer.com
DNSName,21666.mpmicrosoft.com
DNSName,22830.officeapps-live.org
DNSName,15236.mcafee-analyzer.com
DNSName,ns2.static.dyn-usr.gsrv02.ssl-gstatic.online
DNSName,ns1.mcafee-analyzer.com
DNSName,ns1.fbstatic-akamaihd.com
DNSName,ns1.static.dyn-usr.gsrv01.ssl-gstatic.online
DNSName,ns2.officeapps-live.org
DNSName,wk-in-f104.1e100.n.microsoft-security.host
DNSName,ns1.mpmicrosoft.com
DNSName,www.microsoft-security.host
DNSName,ns2.fbstatic-akamaihd.com
DNSName,ns1.cachevideo.online
DNSName,wk-in-f100.1e100.n.microsoft-security.host
DNSName,ns1.officeapps-live.org
DNSName,ns2.mpmicrosoft.com
DNSName,ns02.nsserver.host
DNSName,ns2.cachevideo.online
DNSName,be-5-0-ibr01-lts-ntwk-msn.alkamaihd.com
DNSName,static.dyn-usr.g-blc-se.d45.a63.akamai.alkamaihd.com
DNSName,www.alkamaihd.com
DNSName,ae13-0-hk2-96cbe-1a-ntwk-msn.alkamaihd.com
DNSName,ns2.microsoft-ds.com
DNSName,adcenter.microsoft-ds.com
DNSName,ns1.microsoft-ds.com
DNSName,ns1.mswordupdate17.com
DNSName,ns2.mswordupdate17.com
DNSName,c.mswordupdate17.com
DNSName,ns1.cloudflare-analyse.com
DNSName,static.dyn-usr.f-loginme.c19.a23.akamaitechnology.com
DNSName,ns2.cloudflare-analyse.com
DNSName,ns1.cloud-analyzer.com
DNSName,ns2.cloud-analyzer.com
DNSName,ns01.nsserver.host
DNSName,ns1.fb-statics.com
DNSName,ns02.dnsserv.host
DNSName,15236.cachevideo.online
DNSName,ns2.fb-statics.com
DNSName,ns2.twiter-statics.info
DNSName,ea-in-f113.1e100.microsoft-security.host
DNSName,static.dyn-usr.f-login-me.c19.a.akamaitechnology.tech
DNSName,ea-in-f155.1e100.microsoft-security.host
DNSName,float.2963.bm-imp.akamaitechnology.tech
DNSName,ns1.mcafee-analyzer.com
DNSName,ns2.mcafee-analyzer.com
DNSName,ns1.mpmicrosoft.com
DNSName,ns2.mpmicrosoft.com
DNSName,jpsrv-java-jdkec1.javaupdate.co
DNSName,microsoft-active.directory_update-change-policy.primeminister-goverment-techcenter.tech
DNSName,jpsrv-java-jdkec3.javaupdate.co
DNSName,nameserver02.javaupdate.co
DNSName,jpsrv-java-jdkec2.javaupdate.co
DNSName,static.dyn-usr.f-login-me.c19.a23.akamaitechnology.com
DNSName,static.dyn-usr.g-blc-se.d45.a63.alkamaihd.net
DNSName,ssl.pmo.gov.il-dana-naauthurl1-welcome.cgi.primeminister-goverment-techcenter.tech
DNSName,ns1.static.dyn-usr.gsrv01.ssl- gstatic.online
DNSName,ns2.static.dyn-usr.gsrv02.ssl- gstatic.online
DNSName,static.primeminister-goverment-techcenter.tech
DNSName,ns1.outlook360.org
DNSName,d45.a63.alkamaihd.net
DNSName,ns1.officeapps-live.org
DNSName,ns2.outlook360.org
DNSName,ns2.officeapps-live.org
DNSName,ns2.win-update.com
DNSName,aaa.stage.14043411.email.sharepoint-microsoft.co
DNSName,ns1.updatedrivers.org
DNSName,a17-h16.g11.iad17.as.pht-external.c15.qoldenlines.net
DNSName,ns1.windefender.org
DNSName,is-cdn.edge.g18.dyn.usr-e12-as.akamaitechnology.com
DNSName,ns2.windefender.org
DNSName,ns1.win-update.com
DNSName,ns2.updatedrivers.org
DNSName,ns1.mpmicrosoft.com
DNSName,ns1.officeapps-live.org
DNSName,ns2.officeapps-live.org
DNSName,ns2.ipresolver.org
DNSName,ns1.ipresolver.org
DNSName,www.is-cdn.edge.g18.dyn.usr-e12-as.akamaitechnology.com
DNSName,11716.cachevideo.com
DNSName,ns1.intelchip.org
DNSName,ns2.cachevideo.com
DNSName,7737.cloudflare-statics.com
DNSName,7052.cloudflare-statics.com
DNSName,7737.digicert.online
DNSName,ns1.cloudflare-statics.com
DNSName,24984.cachevideo.com
DNSName,ns1.digicert.online
DNSName,ns2.digicert.online
DNSName,24984.digicert.online
DNSName,ns1.fbstatic-akamaihd.com
DNSName,ns2.fbstatic-akamaihd.com
DNSName,ns1.javaupdator.com
DNSName,ns2.outlook360.net
DNSName,ns01.nameserver.win
DNSName,ns2.javaupdator.com
DNSName,ns2.intelchip.org
DNSName,TATIC.DYN-USR.GSRV01.SSL-GSTATIC.ONLINe
DNSName,STATIC.DYN-USR.GSRV01.SSL-GSTATIC.online
DNSName,ns1.labs-cloudfront.com
DNSName,ns2.labs-cloudfront.com
DNSName,www.broadcast-microsoft.tech
DNSName,www.newsfeeds-microsoft.press
DNSName,www.owa-microsoft.online
DNSName,static.c20.jdk.cdn-external-ie.1e100.tech
DNSName,ns1.cloud-analyzer.com
DNSName,ns2.cloud-analyzer.com
DNSName,ns2.cloudflare-statics.com
DNSName,ns1.cachevideo.com
DNSName,ns1.outlook360.net
DNSName,3012.digicert.online
DNSName,24984.cloudflare-statics.com
DNSName,7737.cachevideo.com
DNSName,hda.stage.12735072.40.dc.c0ad.ip4.sta.gsvr-static.co
DNSName,msdn.winupdate64.net
DNSName,kja.stage.12735072.40.dc.c0ad.ip4.sta.gsvr-static.co
Detection name,BKDR_COBEACON.A
Detection name,TROJ_POWPICK.A
Detection name,HKTL_PASSDUMP
Detection name,TROJ_SODREVR.A
Detection name,TROJ_POWSHELL.C
Detection name,BKDR_CONBEA.A
Detection name,TSPY64_REKOTIB.A
Detection name,HKTL_DIRZIP
Detection name,TROJ_WAPPOME.A
